bank_account,location_type,age_of_respondent,education_level,job_type
No,Rural,34,Primary education,Informally employed
No,Urban,38,Primary education,Self employed
No,Urban,54,Primary education,Self employed
No,Rural,61,Primary education,Remittance Dependent
No,Urban,71,Primary education,Informally employed
No,Urban,50,No formal education,Self employed
No,Urban,63,No formal education,Informally employed
No,Urban,19,No formal education,Informally employed
No,Urban,54,Tertiary education,Informally employed
No,Urban,27,Primary education,Self employed
No,Urban,27,Primary education,Informally employed
No,Urban,32,Primary education,Self employed
No,Rural,28,No formal education,Informally employed
No,Urban,65,No formal education,No Income
No,Urban,18,No formal education,Remittance Dependent
No,Urban,50,Primary education,Informally employed
No,Urban,60,Primary education,No Income
No,Urban,34,Primary education,Self employed
No,Urban,30,Primary education,Informally employed
No,Rural,23,Primary education,Remittance Dependent
No,Urban,30,Primary education,Self employed
Yes,Urban,50,Tertiary education,Formally employed Private
No,Urban,78,No formal education,Government Dependent
No,Rural,35,Secondary education,Self employed
No,Urban,55,Primary education,Self employed
No,Urban,48,Primary education,Self employed
No,Urban,40,Secondary education,No Income
No,Rural,20,Primary education,Self employed
No,Urban,53,Primary education,Self employed
No,Urban,26,Primary education,Self employed
No,Urban,21,Secondary education,Remittance Dependent
Yes,Urban,48,Primary education,Self employed
No,Urban,50,No formal education,Self employed
No,Urban,16,Primary education,No Income
No,Urban,34,Primary education,Informally employed
No,Rural,23,Secondary education,Formally employed Private
No,Urban,40,Primary education,Self employed
No,Urban,56,No formal education,Self employed
No,Urban,45,No formal education,Self employed
No,Urban,43,Primary education,Informally employed
No,Urban,64,No formal education,Self employed
No,Urban,40,No formal education,Self employed
No,Urban,35,No formal education,Informally employed
No,Urban,35,Primary education,Self employed
No,Rural,35,Primary education,Self employed
No,Urban,28,Secondary education,Informally employed
No,Urban,30,Primary education,Self employed
No,Urban,65,No formal education,Self employed
No,Rural,18,Secondary education,Remittance Dependent
No,Urban,32,Primary education,Self employed
No,Urban,27,Primary education,Remittance Dependent
No,Urban,25,Primary education,Self employed
No,Urban,29,Primary education,Informally employed
Yes,Urban,44,Tertiary education,Self employed
No,Urban,87,Primary education,Remittance Dependent
No,Urban,32,Primary education,Self employed
No,Rural,36,Primary education,Self employed
No,Urban,50,Primary education,Self employed
No,Rural,49,Primary education,Informally employed
No,Urban,61,No formal education,Self employed
No,Urban,25,Primary education,Self employed
No,Urban,85,No formal education,Self employed
Yes,Rural,29,Primary education,No Income
No,Urban,20,No formal education,Informally employed
No,Urban,26,Primary education,Self employed
No,Urban,16,Primary education,Remittance Dependent
No,Urban,36,Primary education,Self employed
No,Urban,70,Primary education,Government Dependent
No,Urban,27,No formal education,Self employed
Yes,Urban,27,Secondary education,Informally employed
Yes,Rural,36,Primary education,Informally employed
No,Urban,75,No formal education,Informally employed
No,Urban,43,Primary education,Self employed
No,Urban,21,Primary education,Informally employed
No,Urban,27,Primary education,Self employed
No,Urban,25,Primary education,Informally employed
No,Urban,61,Primary education,Self employed
No,Urban,55,Primary education,Self employed
No,Urban,45,Primary education,Self employed
No,Urban,30,No formal education,Informally employed
No,Rural,40,No formal education,Informally employed
No,Rural,46,Primary education,Informally employed
No,Urban,39,Primary education,Self employed
No,Rural,49,Primary education,Remittance Dependent
No,Urban,84,Secondary education,Remittance Dependent
No,Rural,36,Tertiary education,Informally employed
No,Rural,16,Secondary education,No Income
No,Urban,28,Primary education,Remittance Dependent
No,Urban,64,No formal education,Self employed
No,Urban,51,Primary education,No Income
No,Urban,45,Primary education,Self employed
Yes,Rural,32,Tertiary education,Formally employed Private
No,Urban,22,No formal education,Self employed
No,Urban,36,Primary education,Informally employed
No,Rural,25,Primary education,Informally employed
No,Urban,26,No formal education,Informally employed
No,Urban,30,Primary education,Self employed
No,Urban,39,Primary education,Self employed
No,Rural,45,Primary education,Informally employed
No,Rural,39,Primary education,Self employed
No,Rural,39,Primary education,Self employed
No,Urban,50,Primary education,Informally employed
No,Rural,29,Primary education,Self employed
No,Urban,20,Primary education,Self employed
No,Urban,30,No formal education,Self employed
No,Urban,58,No formal education,Remittance Dependent
No,Urban,25,Secondary education,Self employed
No,Urban,56,Primary education,Self employed
No,Urban,62,Primary education,Informally employed
No,Rural,33,Primary education,Informally employed
No,Urban,85,No formal education,Self employed
No,Rural,26,Tertiary education,Informally employed
No,Urban,26,No formal education,Self employed
Yes,Rural,22,Tertiary education,Self employed
No,Urban,37,Primary education,Self employed
No,Urban,66,Primary education,Self employed
No,Urban,18,Secondary education,Informally employed
No,Urban,34,Primary education,Self employed
No,Urban,57,Tertiary education,Self employed
No,Urban,77,Primary education,Self employed
Yes,Rural,23,Primary education,Self employed
No,Urban,79,No formal education,Self employed
No,Urban,22,Primary education,Self employed
No,Urban,42,Primary education,Informally employed
No,Urban,19,Tertiary education,Informally employed
No,Rural,34,Primary education,Informally employed
No,Urban,20,Primary education,Self employed
No,Urban,20,Tertiary education,Remittance Dependent
No,Rural,70,No formal education,Remittance Dependent
No,Urban,65,Primary education,Self employed
No,Urban,30,Primary education,Informally employed
No,Urban,18,Primary education,No Income
No,Urban,86,No formal education,Self employed
No,Urban,21,Secondary education,Remittance Dependent
No,Urban,19,Primary education,Self employed
No,Urban,19,Primary education,Remittance Dependent
No,Urban,31,Primary education,Self employed
No,Urban,46,Primary education,Self employed
No,Urban,40,No formal education,Informally employed
No,Urban,53,Primary education,Formally employed Private
No,Rural,62,Primary education,No Income
No,Urban,20,Primary education,Self employed
No,Rural,20,Tertiary education,Self employed
No,Urban,39,Primary education,Informally employed
No,Urban,50,Primary education,Self employed
No,Urban,52,Primary education,Self employed
No,Urban,24,Primary education,Self employed
No,Urban,20,No formal education,Formally employed Private
No,Urban,45,Primary education,Self employed
No,Urban,32,Primary education,Informally employed
No,Urban,50,Primary education,Self employed
No,Urban,30,No formal education,Informally employed
No,Urban,46,Primary education,Self employed
No,Urban,19,Secondary education,No Income
No,Urban,18,Secondary education,Remittance Dependent
No,Urban,47,Primary education,Self employed
No,Rural,27,Primary education,Self employed
No,Urban,42,No formal education,Self employed
No,Urban,38,No formal education,Informally employed
No,Urban,38,No formal education,Informally employed
No,Rural,48,No formal education,Remittance Dependent
No,Urban,27,Primary education,Self employed
No,Urban,29,Primary education,Self employed
No,Rural,25,Primary education,Informally employed
No,Urban,23,Primary education,Self employed
No,Urban,20,Primary education,Self employed
No,Urban,19,Primary education,Remittance Dependent
No,Urban,42,Primary education,Self employed
No,Urban,61,Primary education,Self employed
No,Rural,27,Primary education,Self employed
No,Urban,78,Primary education,Self employed
No,Urban,40,Primary education,Informally employed
No,Urban,27,Primary education,Self employed
No,Rural,25,Primary education,No Income
No,Rural,38,Primary education,Informally employed
No,Urban,40,Primary education,Self employed
Yes,Rural,37,Primary education,Self employed
No,Rural,18,Primary education,Remittance Dependent
No,Urban,47,Primary education,Self employed
No,Urban,47,Primary education,Self employed
No,Urban,35,Primary education,Self employed
No,Urban,35,Primary education,Self employed
No,Urban,22,Primary education,Informally employed
No,Urban,39,Primary education,Self employed
No,Urban,35,Primary education,Formally employed Private
No,Urban,69,Primary education,Self employed
No,Urban,70,Primary education,Informally employed
No,Urban,63,No formal education,Remittance Dependent
No,Urban,63,Primary education,Self employed
No,Rural,64,Primary education,Self employed
No,Urban,28,Tertiary education,Self employed
No,Urban,23,Primary education,Self employed
No,Urban,57,Primary education,Self employed
No,Urban,53,Primary education,Informally employed
No,Rural,71,Primary education,Self employed
No,Urban,26,Primary education,Informally employed
No,Urban,20,Secondary education,No Income
No,Urban,37,Primary education,Self employed
No,Urban,47,Primary education,Self employed
No,Urban,24,Primary education,Self employed
No,Rural,27,Vocational/Specialised training,Self employed
No,Urban,32,Primary education,Self employed
No,Urban,35,Primary education,Self employed
No,Rural,27,Tertiary education,Formally employed Private
No,Rural,35,Primary education,Self employed
No,Urban,68,No formal education,Self employed
No,Rural,52,Primary education,Self employed
No,Rural,23,Primary education,Self employed
No,Urban,50,Primary education,Self employed
Yes,Rural,61,Secondary education,Remittance Dependent
Yes,Rural,24,Vocational/Specialised training,Other Income
No,Urban,38,Primary education,Self employed
No,Rural,19,Primary education,Informally employed
No,Rural,25,Vocational/Specialised training,Self employed
No,Urban,32,Primary education,No Income
No,Urban,21,Primary education,Remittance Dependent
No,Urban,51,Primary education,Self employed
No,Rural,45,Primary education,Self employed
No,Urban,65,No formal education,Government Dependent
No,Urban,29,Primary education,Self employed
Yes,Rural,35,Primary education,Informally employed
No,Urban,48,Primary education,Informally employed
No,Urban,36,Primary education,Self employed
No,Rural,70,No formal education,Government Dependent
No,Rural,28,Secondary education,Self employed
No,Urban,35,Primary education,Self employed
No,Urban,24,Primary education,Informally employed
No,Urban,70,No formal education,Self employed
No,Rural,53,Primary education,Informally employed
No,Urban,37,Primary education,Self employed
No,Urban,42,Primary education,Self employed
No,Rural,27,Secondary education,Self employed
No,Urban,24,No formal education,Self employed
Yes,Urban,36,Tertiary education,Formally employed Private
No,Urban,25,Primary education,Self employed
No,Rural,45,Primary education,Remittance Dependent
No,Urban,46,Primary education,Informally employed
No,Rural,32,Primary education,Informally employed
No,Rural,57,Secondary education,Self employed
No,Urban,34,Primary education,Self employed
No,Rural,34,No formal education,Self employed
No,Urban,29,Primary education,Informally employed
No,Urban,46,Primary education,Remittance Dependent
No,Urban,31,No formal education,Self employed
No,Urban,38,No formal education,Informally employed
No,Urban,52,Primary education,Informally employed
Yes,Urban,50,Tertiary education,Self employed
No,Urban,32,Primary education,Self employed
No,Rural,31,Primary education,Informally employed
No,Urban,45,Primary education,Self employed
No,Rural,50,Primary education,Self employed
No,Urban,33,Primary education,Self employed
No,Urban,17,Primary education,Self employed
No,Urban,30,Primary education,Self employed
No,Urban,47,Primary education,Self employed
No,Urban,82,No formal education,Self employed
No,Urban,24,Primary education,Self employed
No,Urban,42,Primary education,Informally employed
No,Urban,63,No formal education,Remittance Dependent
Yes,Rural,49,Primary education,Self employed
No,Urban,25,Primary education,Remittance Dependent
Yes,Urban,44,Primary education,Self employed
No,Urban,30,No formal education,Self employed
No,Urban,69,Primary education,Self employed
No,Urban,40,Primary education,Self employed
No,Urban,36,Primary education,Self employed
No,Urban,32,Primary education,Self employed
No,Rural,33,Tertiary education,Remittance Dependent
No,Urban,49,Primary education,Self employed
No,Urban,60,No formal education,Self employed
No,Rural,40,Primary education,Formally employed Private
No,Rural,40,No formal education,Formally employed Private
No,Urban,38,Primary education,Self employed
No,Urban,29,Secondary education,Informally employed
No,Urban,18,Primary education,Self employed
No,Urban,37,Primary education,Self employed
Yes,Rural,23,Secondary education,Self employed
No,Urban,69,No formal education,Self employed
No,Urban,35,No formal education,Self employed
No,Urban,69,No formal education,Remittance Dependent
No,Urban,48,No formal education,Self employed
No,Urban,40,No formal education,Self employed
No,Urban,18,Primary education,Remittance Dependent
No,Urban,40,Primary education,Self employed
No,Rural,27,Secondary education,Remittance Dependent
No,Urban,17,Secondary education,Remittance Dependent
No,Urban,26,Primary education,Self employed
No,Urban,38,Primary education,Self employed
No,Urban,29,Primary education,No Income
No,Rural,35,Primary education,Self employed
Yes,Rural,24,Tertiary education,Informally employed
No,Urban,29,Primary education,Self employed
No,Urban,50,Primary education,Self employed
No,Urban,52,Primary education,Self employed
No,Rural,41,Primary education,Informally employed
No,Urban,35,Primary education,Self employed
No,Urban,82,Primary education,Government Dependent
No,Urban,61,Primary education,Informally employed
No,Rural,22,Secondary education,Self employed
No,Urban,34,Secondary education,Self employed
No,Urban,23,Primary education,Self employed
No,Urban,20,Primary education,Informally employed
Yes,Urban,31,Vocational/Specialised training,Formally employed Private
No,Rural,17,Secondary education,No Income
No,Urban,37,Primary education,Informally employed
No,Urban,63,Primary education,Self employed
Yes,Rural,32,Vocational/Specialised training,Formally employed Private
No,Urban,27,Primary education,Self employed
No,Rural,25,Vocational/Specialised training,Self employed
No,Rural,20,Primary education,Self employed
No,Urban,44,Primary education,Self employed
No,Urban,26,Primary education,Self employed
No,Urban,72,No formal education,Remittance Dependent
No,Urban,43,Primary education,Self employed
No,Urban,53,Primary education,Self employed
Yes,Urban,70,Tertiary education,Government Dependent
No,Urban,24,No formal education,Self employed
No,Urban,29,Primary education,Self employed
No,Rural,40,Primary education,Formally employed Private
No,Urban,75,No formal education,Government Dependent
No,Urban,68,Primary education,Remittance Dependent
No,Urban,20,No formal education,Informally employed
No,Urban,30,Primary education,Informally employed
No,Urban,42,Primary education,Self employed
No,Urban,48,Primary education,Self employed
No,Rural,42,Tertiary education,Remittance Dependent
No,Urban,39,No formal education,Self employed
No,Urban,51,Primary education,Self employed
No,Rural,17,Secondary education,No Income
No,Urban,21,Primary education,Remittance Dependent
No,Urban,70,No formal education,Self employed
No,Urban,22,Primary education,Self employed
No,Rural,34,Tertiary education,Informally employed
No,Urban,23,No formal education,Self employed
No,Urban,22,No formal education,Remittance Dependent
No,Urban,33,Primary education,Self employed
No,Urban,58,Primary education,Government Dependent
No,Urban,40,No formal education,Self employed
No,Rural,25,Tertiary education,Self employed
No,Urban,55,Primary education,Self employed
No,Urban,45,Primary education,Self employed
Yes,Urban,35,Primary education,Formally employed Private
No,Urban,26,Primary education,Self employed
No,Urban,46,Primary education,Self employed
Yes,Rural,28,Tertiary education,Formally employed Private
No,Urban,24,Primary education,Self employed
No,Rural,19,Primary education,No Income
No,Rural,19,Tertiary education,Remittance Dependent
No,Urban,50,Primary education,Remittance Dependent
No,Urban,23,Primary education,Self employed
No,Rural,34,Primary education,Self employed
No,Rural,33,Primary education,Informally employed
No,Urban,25,Secondary education,Informally employed
Yes,Urban,30,Primary education,Self employed
No,Urban,18,Primary education,Self employed
No,Rural,27,Primary education,Self employed
No,Urban,60,No formal education,Self employed
No,Urban,20,Tertiary education,No Income
Yes,Rural,21,Tertiary education,Formally employed Private
No,Urban,38,Tertiary education,Informally employed
No,Urban,33,Primary education,Informally employed
No,Urban,43,Primary education,Self employed
No,Rural,24,Primary education,No Income
No,Urban,57,Primary education,Self employed
No,Urban,36,Primary education,Informally employed
No,Rural,26,Primary education,Formally employed Private
No,Urban,25,Primary education,Self employed
No,Urban,18,No formal education,Self employed
No,Rural,36,Tertiary education,Formally employed Private
No,Urban,17,Secondary education,No Income
No,Urban,39,Primary education,Self employed
No,Urban,42,Primary education,Self employed
No,Rural,34,Vocational/Specialised training,Informally employed
Yes,Rural,30,Primary education,Remittance Dependent
No,Urban,51,No formal education,Self employed
No,Urban,63,No formal education,Self employed
No,Urban,24,Primary education,Informally employed
No,Urban,49,Primary education,Self employed
No,Urban,25,Primary education,Informally employed
No,Urban,65,Primary education,Self employed
No,Urban,23,Primary education,Informally employed
No,Urban,62,Primary education,Self employed
Yes,Rural,39,Secondary education,Informally employed
No,Rural,16,Primary education,Informally employed
No,Urban,30,Primary education,Self employed
No,Urban,23,Secondary education,Self employed
No,Rural,22,Primary education,Self employed
No,Urban,70,Primary education,Self employed
Yes,Rural,35,Vocational/Specialised training,Formally employed Private
Yes,Rural,56,Vocational/Specialised training,Formally employed Private
No,Rural,25,Tertiary education,Remittance Dependent
No,Urban,27,Primary education,Self employed
No,Rural,27,Primary education,Informally employed
No,Urban,25,Primary education,Remittance Dependent
No,Urban,24,Primary education,Self employed
No,Urban,20,Primary education,Self employed
No,Urban,60,No formal education,Self employed
Yes,Rural,51,Tertiary education,Self employed
No,Urban,28,Primary education,Self employed
No,Urban,38,Primary education,Informally employed
No,Urban,23,Primary education,Self employed
No,Urban,20,Primary education,Remittance Dependent
No,Urban,18,Primary education,Informally employed
Yes,Urban,36,Primary education,Self employed
No,Rural,18,Tertiary education,Informally employed
No,Urban,33,Primary education,Self employed
No,Urban,48,Primary education,Self employed
No,Urban,16,Primary education,Self employed
No,Urban,42,Primary education,Self employed
No,Urban,54,Primary education,Self employed
Yes,Rural,30,Tertiary education,Formally employed Private
No,Urban,22,Primary education,Self employed
No,Urban,60,Primary education,Self employed
No,Urban,17,Secondary education,Self employed
No,Urban,70,No formal education,Informally employed
No,Urban,47,No formal education,Self employed
No,Rural,18,Primary education,Self employed
No,Urban,33,Primary education,Self employed
No,Urban,27,Primary education,Self employed
No,Urban,38,Primary education,Self employed
No,Urban,18,Tertiary education,Remittance Dependent
No,Urban,30,Secondary education,Informally employed
No,Urban,25,Primary education,Informally employed
No,Urban,35,No formal education,Self employed
No,Urban,60,Primary education,Self employed
Yes,Rural,34,Vocational/Specialised training,Formally employed Private
No,Urban,98,No formal education,Self employed
No,Urban,68,No formal education,Self employed
No,Urban,18,Tertiary education,Informally employed
Yes,Urban,38,Primary education,Self employed
Yes,Urban,26,Primary education,Remittance Dependent
No,Rural,33,Primary education,Informally employed
Yes,Urban,51,Primary education,Formally employed Private
No,Urban,24,Primary education,Self employed
No,Urban,23,Primary education,Informally employed
No,Urban,55,No formal education,Self employed
No,Urban,49,Primary education,Informally employed
No,Urban,40,Primary education,Self employed
No,Rural,28,No formal education,Formally employed Private
No,Urban,38,Primary education,Self employed
No,Urban,50,No formal education,Informally employed
No,Urban,47,Primary education,Informally employed
No,Urban,18,Secondary education,No Income
No,Urban,18,Tertiary education,Informally employed
No,Urban,42,Primary education,Self employed
No,Rural,18,No formal education,Remittance Dependent
No,Rural,28,Vocational/Specialised training,Self employed
No,Urban,65,Primary education,Self employed
No,Urban,42,Primary education,Informally employed
No,Urban,22,Primary education,Self employed
No,Urban,18,Secondary education,No Income
No,Urban,22,Primary education,Self employed
Yes,Rural,52,Vocational/Specialised training,Formally employed Private
No,Urban,80,No formal education,Self employed
No,Urban,38,No formal education,Self employed
No,Urban,57,Primary education,Remittance Dependent
No,Urban,31,Primary education,Informally employed
No,Urban,28,Primary education,Self employed
No,Rural,40,No formal education,Informally employed
No,Urban,57,Primary education,Self employed
No,Urban,49,Primary education,Other Income
No,Urban,86,No formal education,Remittance Dependent
No,Rural,36,Primary education,Self employed
No,Urban,71,No formal education,Government Dependent
No,Urban,48,Primary education,Self employed
No,Urban,28,Primary education,Self employed
No,Urban,32,Primary education,Self employed
No,Urban,26,Primary education,Self employed
No,Rural,70,Vocational/Specialised training,Formally employed Private
No,Urban,51,Primary education,Self employed
No,Urban,18,Primary education,Self employed
No,Urban,51,Primary education,Self employed
No,Urban,18,Secondary education,Informally employed
No,Urban,28,Primary education,No Income
No,Rural,19,Secondary education,Remittance Dependent
No,Urban,35,Primary education,Self employed
No,Rural,33,Tertiary education,Informally employed
No,Urban,43,Primary education,Self employed
No,Urban,34,Tertiary education,Self employed
No,Urban,36,Primary education,Self employed
No,Urban,16,Primary education,Remittance Dependent
No,Urban,76,No formal education,Government Dependent
No,Urban,57,Primary education,Informally employed
No,Urban,50,Primary education,Self employed
No,Urban,27,Primary education,Informally employed
No,Urban,25,Tertiary education,Self employed
No,Urban,19,Primary education,Remittance Dependent
No,Urban,25,Primary education,Self employed
No,Urban,35,Primary education,Self employed
No,Urban,44,Primary education,Self employed
Yes,Urban,52,Tertiary education,Self employed
No,Urban,22,Primary education,Self employed
No,Urban,37,Primary education,Self employed
No,Rural,23,Primary education,Remittance Dependent
No,Urban,18,Primary education,Self employed
Yes,Rural,37,Secondary education,Self employed
No,Urban,19,Primary education,Informally employed
No,Urban,33,Primary education,Self employed
No,Urban,31,Primary education,Remittance Dependent
No,Rural,28,Tertiary education,Informally employed
No,Urban,19,Primary education,Informally employed
No,Urban,58,Primary education,Self employed
No,Urban,45,Primary education,Self employed
Yes,Rural,27,Vocational/Specialised training,Self employed
No,Urban,35,No formal education,Self employed
No,Urban,24,Primary education,Remittance Dependent
No,Urban,32,Primary education,Self employed
No,Urban,76,No formal education,Remittance Dependent
No,Rural,17,Tertiary education,No Income
No,Urban,17,Secondary education,No Income
No,Urban,18,Primary education,No Income
No,Urban,64,Primary education,Self employed
Yes,Rural,46,Primary education,Self employed
No,Rural,38,Primary education,Informally employed
No,Urban,26,Primary education,Self employed
No,Urban,68,No formal education,No Income
No,Urban,58,No formal education,Self employed
No,Urban,25,Primary education,Remittance Dependent
No,Urban,59,No formal education,Self employed
No,Urban,49,Primary education,Self employed
No,Urban,20,Primary education,Self employed
No,Urban,30,No formal education,Self employed
No,Urban,78,Primary education,Remittance Dependent
No,Urban,52,Secondary education,Self employed
No,Urban,48,Primary education,Self employed
No,Urban,50,No formal education,Self employed
No,Urban,75,No formal education,Informally employed
No,Urban,40,Primary education,Self employed
No,Rural,36,Primary education,Remittance Dependent
No,Rural,18,Secondary education,Remittance Dependent
Yes,Urban,59,Tertiary education,Formally employed Private
No,Rural,37,Primary education,Informally employed
Yes,Rural,26,Tertiary education,Formally employed Private
No,Urban,25,Primary education,Self employed
No,Rural,100,No formal education,No Income
No,Urban,26,Primary education,Self employed
No,Urban,52,Primary education,Self employed
No,Urban,42,No formal education,Self employed
No,Urban,18,Primary education,Self employed
No,Urban,86,No formal education,No Income
No,Urban,20,Primary education,Informally employed
No,Rural,45,Tertiary education,Self employed
Yes,Rural,32,Primary education,Informally employed
No,Urban,27,Primary education,Self employed
No,Urban,36,Primary education,Self employed
No,Urban,41,Primary education,Self employed
No,Urban,18,Primary education,Remittance Dependent
No,Rural,83,Primary education,Other Income
No,Urban,63,No formal education,Self employed
No,Urban,29,Primary education,No Income
No,Rural,49,Primary education,Self employed
No,Urban,85,No formal education,Remittance Dependent
No,Urban,69,Primary education,Self employed
No,Urban,23,Primary education,Informally employed
No,Rural,29,Secondary education,No Income
No,Urban,24,Tertiary education,Self employed
No,Urban,32,No formal education,Self employed
No,Rural,20,Primary education,Self employed
No,Urban,28,Tertiary education,Self employed
No,Urban,39,Primary education,Self employed
No,Urban,26,Primary education,Self employed
No,Urban,27,Primary education,Informally employed
Yes,Urban,26,Vocational/Specialised training,Formally employed Private
No,Urban,29,Vocational/Specialised training,Self employed
No,Urban,49,Primary education,Self employed
Yes,Rural,32,Vocational/Specialised training,Formally employed Private
No,Urban,40,Primary education,Self employed
No,Rural,36,No formal education,Self employed
No,Rural,26,Primary education,No Income
No,Urban,26,Secondary education,Informally employed
No,Urban,26,Tertiary education,Formally employed Private
No,Urban,26,Primary education,Self employed
No,Rural,17,Primary education,Remittance Dependent
No,Rural,27,No formal education,Self employed
No,Urban,34,Primary education,Self employed
No,Urban,75,No formal education,Informally employed
No,Urban,36,Primary education,Self employed
No,Urban,27,Secondary education,Self employed
No,Urban,27,Primary education,Self employed
Yes,Urban,53,Secondary education,Self employed
No,Rural,57,No formal education,Self employed
No,Rural,32,No formal education,Self employed
No,Urban,39,Primary education,Informally employed
No,Rural,23,Primary education,Remittance Dependent
No,Urban,44,Primary education,Self employed
No,Urban,28,No formal education,Informally employed
No,Urban,80,No formal education,Remittance Dependent
No,Urban,39,Primary education,Self employed
No,Urban,37,No formal education,Self employed
No,Urban,26,Primary education,Self employed
No,Rural,46,Tertiary education,Self employed
No,Urban,40,Primary education,Informally employed
Yes,Rural,47,Primary education,Self employed
No,Urban,39,No formal education,Self employed
No,Urban,27,Secondary education,Self employed
No,Urban,50,No formal education,Self employed
No,Urban,25,Primary education,Informally employed
No,Urban,27,No formal education,No Income
No,Urban,85,No formal education,No Income
No,Urban,18,Primary education,Informally employed
No,Rural,36,Primary education,Self employed
No,Rural,40,Primary education,Self employed
No,Rural,57,Vocational/Specialised training,Formally employed Private
Yes,Rural,54,Tertiary education,Formally employed Private
No,Rural,24,Primary education,No Income
No,Urban,70,No formal education,Self employed
No,Rural,34,Primary education,Informally employed
No,Rural,32,Primary education,Informally employed
No,Rural,39,Primary education,Self employed
No,Urban,23,Primary education,Self employed
No,Urban,33,No formal education,Self employed
No,Rural,38,Primary education,Self employed
No,Urban,33,Primary education,Self employed
No,Urban,30,Primary education,Informally employed
No,Urban,39,Primary education,Self employed
No,Rural,29,No formal education,Self employed
Yes,Urban,30,Tertiary education,Formally employed Private
No,Urban,31,Primary education,Self employed
No,Urban,28,Secondary education,Self employed
No,Urban,39,Primary education,Self employed
No,Urban,37,Primary education,Informally employed
No,Rural,40,Primary education,No Income
No,Urban,24,Primary education,Remittance Dependent
No,Urban,35,Primary education,Informally employed
No,Urban,41,Primary education,Self employed
No,Rural,28,Primary education,Informally employed
No,Rural,20,Tertiary education,Remittance Dependent
Yes,Urban,58,Tertiary education,Government Dependent
No,Urban,75,No formal education,Self employed
No,Urban,35,No formal education,Self employed
No,Urban,22,No formal education,Informally employed
No,Urban,76,No formal education,Self employed
No,Urban,28,No formal education,Self employed
No,Urban,46,Primary education,Informally employed
No,Urban,38,Primary education,Self employed
No,Rural,36,No formal education,No Income
No,Urban,25,Primary education,Informally employed
Yes,Urban,27,Tertiary education,Formally employed Private
No,Urban,38,No formal education,Self employed
No,Urban,58,No formal education,Self employed
No,Urban,31,No formal education,Informally employed
No,Rural,27,Tertiary education,Informally employed
No,Urban,28,Primary education,Government Dependent
No,Rural,18,Secondary education,Remittance Dependent
No,Urban,42,Primary education,Government Dependent
Yes,Urban,45,Tertiary education,Self employed
No,Urban,42,Primary education,Informally employed
No,Rural,43,Primary education,Self employed
No,Urban,71,Primary education,Remittance Dependent
No,Urban,50,No formal education,Self employed
No,Rural,56,Primary education,No Income
No,Rural,50,Primary education,Self employed
No,Urban,29,Primary education,Informally employed
No,Urban,49,Primary education,Self employed
No,Urban,33,Tertiary education,Self employed
No,Rural,52,Primary education,Self employed
No,Urban,41,Primary education,Self employed
No,Rural,37,Primary education,Self employed
Yes,Rural,26,Tertiary education,Self employed
No,Urban,40,Primary education,No Income
No,Rural,30,Tertiary education,Informally employed
No,Urban,74,Primary education,No Income
No,Urban,26,Primary education,No Income
No,Urban,17,Primary education,Informally employed
No,Urban,31,Primary education,Informally employed
Yes,Rural,41,Tertiary education,Formally employed Private
No,Rural,17,Primary education,Formally employed Private
Yes,Urban,78,Primary education,Remittance Dependent
No,Urban,16,Primary education,Self employed
No,Urban,44,Primary education,Informally employed
No,Urban,26,Primary education,Self employed
No,Urban,37,Primary education,Formally employed Private
No,Urban,19,Primary education,Self employed
No,Rural,41,Primary education,Self employed
No,Urban,49,Primary education,Informally employed
No,Urban,26,Primary education,Self employed
No,Urban,22,Primary education,Self employed
No,Urban,27,Tertiary education,Self employed
No,Rural,45,No formal education,Self employed
No,Urban,68,Primary education,Self employed
No,Urban,26,Primary education,No Income
No,Rural,34,Primary education,Self employed
No,Urban,18,Secondary education,Self employed
No,Urban,60,Secondary education,Informally employed
No,Urban,22,Primary education,Self employed
No,Urban,20,No formal education,Self employed
No,Rural,23,Primary education,Remittance Dependent
No,Urban,42,Secondary education,Self employed
No,Urban,38,Primary education,Self employed
Yes,Rural,42,Primary education,Self employed
Yes,Rural,33,Primary education,Formally employed Private
No,Urban,66,Primary education,Self employed
Yes,Urban,68,Primary education,Government Dependent
No,Rural,16,Tertiary education,Remittance Dependent
No,Rural,35,Primary education,Informally employed
No,Rural,28,Primary education,No Income
No,Urban,34,Primary education,Self employed
No,Rural,33,Secondary education,Formally employed Private
No,Urban,26,Secondary education,Self employed
No,Urban,59,Primary education,Self employed
No,Urban,33,Primary education,Self employed
No,Urban,42,Primary education,Self employed
No,Rural,39,Primary education,Informally employed
No,Urban,33,Primary education,Self employed
No,Rural,24,Primary education,Informally employed
No,Urban,45,Primary education,Self employed
No,Urban,30,Primary education,Remittance Dependent
No,Urban,29,Primary education,Self employed
No,Urban,41,Primary education,Informally employed
No,Urban,68,Primary education,No Income
No,Urban,61,No formal education,Self employed
No,Rural,18,Secondary education,Self employed
No,Rural,34,Primary education,Self employed
No,Rural,42,Primary education,Remittance Dependent
No,Urban,33,Primary education,Self employed
No,Urban,46,Primary education,Self employed
No,Urban,29,Primary education,No Income
No,Urban,28,Tertiary education,Remittance Dependent
No,Urban,21,Primary education,Self employed
Yes,Rural,47,Tertiary education,Formally employed Private
No,Urban,20,Primary education,No Income
No,Urban,70,No formal education,Self employed
No,Urban,48,No formal education,Self employed
